تصدير بيانات العقود
تاريخ التصدير: 29-Jul-2025
عدد السجلات: 86

معرف العقد,معرف الشركة,تاريخ بداية العقد,تاريخ انتهاء العقد,معرفات الفروع,أسماء الفروع
"0065-001","0065","26-Mar-2025","25-Mar-2026","0065-JED-001-0001","الفيحاء"
"0046-001","0046","20-Feb-2025","19-Feb-2026","0046-JED-001-0001","الصناعية 3"
"0033-005","0033","14-Nov-2024","12-Nov-2025","0033-JED-005-0005","الشاطئ - رجال"
"0015-001","0015","01-Feb-2025","29-Jul-2025","0015-JED-001-0001","المستودع"
"0033-001","0033","14-Nov-2024","12-Nov-2025","0033-JED-001-0001","الفيحاء - رجال"
"0019-001","0019","01-Jan-2025","31-Dec-2025","0019-JED-001-0001","برج ذا هيدكوارترز بزنس بارك"
"0027-001","0027","12-Nov-2024","11-Nov-2025","0027-JED-001-0001","السلامة"
"0024-001","0024","19-Sep-2024","18-Sep-2025","0024-JED-001-0002,0024-MDN-001-0001","Penholigon’s-Kiosk,Penholigon’s-Kiosk"
"0045-001","0045","30-Jan-2025","29-Jan-2026","0045-JED-001-0001","الصناعية 3"
"0061-001","0061","14-Sep-2024","13-Sep-2025","0061-JED-001-0001","الصناعية الثالثة"
"0014-001","0014","01-Sep-2024","31-Aug-2025","0014-JED-001-0001","الصناعية 1"
"0038-001","0038","19-Sep-2024","18-Sep-2025","0038-JED-001-0001","Louis Vuitton"
"0033-010","0033","14-Nov-2024","13-Nov-2025","0033-JED-010-0010","النسيم - نساء"
"0067-001","0067","17-Jul-2024","16-Jul-2025","0067-JED-001-0001","حي مشرفة"
"0055-001","0055","03-Sep-2024","02-Sep-2025","0055-JED-001-0001","الصفا"
"0029-001","0029","19-Sep-2024","18-Sep-2025","0029-JED-002-0002,0029-JED-001-0001","Chanel,Chanel"
"0039-001","0039","19-Sep-2024","18-Sep-2025","0039-JED-009-0040,0039-JED-009-0030,0039-JED-011-0045,0039-JED-002-0004,0039-JED-002-0003,0039-JED-009-0029,0039-JED-012-0046,0039-JED-009-0031,0039-JED-003-0008,0039-JED-009-0028,0039-JED-002-0005,0039-JED-006-0014,0039-JED-009-0035,0039-JED-001-0002,0039-JED-009-0034,0039-JED-009-0038,0039-JED-007-0020,0039-JED-013-0047,0039-JED-010-0042,0039-JED-009-0036,0039-JED-008-0024,0039-JED-007-0019,0039-JED-010-0041,0039-JED-007-0022,0039-JED-007-0018,0039-JED-008-0023,0039-JED-009-0037,0039-JED-007-0021,0039-JED-009-0033,0039-JED-009-0039,0039-JED-005-0013,0039-JED-009-0027,0039-JED-009-0032,0039-JED-004-0009,0039-JED-007-0017,0039-YAN-001-0011,0039-TAF-001-0015,0039-TAF-003-0044,0039-MDN-002-0007,0039-TAF-002-0025,0039-TBK-001-0026,0039-MKA-001-0001,0039-TBK-002-0043,0039-BAH-001-0010,0039-MDN-001-0006,0039-TAF-001-0016,0039-MKA-002-0012","Tory Burch,Faces,Faces,Jimmy Choo,Carolina Herrera (CH),Dyson,Faces,GUESS,GUESS,By Kilian,Tory Burch,Faces,Nars,The Visitor,Molton Brown,Ralph Lauren,Purificacion Garcia,Faces,GUESS,Oliver peebles,Lacoste,Micheal Kors,Faces,Tory Burch,Lacoste,Faces,Purificacion Garcia,Ralph Lauren,Micheal Kors,Ray Ban,The Deal,ADOLFO,Lacoste,Faces,Faces,Faces,Faces,Faces,Faces,Faces,Faces,GUESS,GUESS,Faces,Faces,GUESS,Faces"
"0066-001","0066","21-Oct-2024","20-Oct-2025","0066-JED-001-0001","البساتين مول"
"0054-001","0054","29-Dec-2024","28-Dec-2025","0054-JED-001-0001,0054-JED-002-0002","طريق المدينة,غرناطة"
"0016-001","0016","20-Feb-2024","19-Feb-2025","0016-JED-001-0001","الجوهرة"
"0033-002","0033","14-Nov-2024","12-Nov-2025","0033-JED-002-0002","الخالدية - رجال"
"0028-001","0028","26-Aug-2024","25-Aug-2025","0028-JED-001-0001","طريق الملك"
"0063-001","0063","04-Mar-2025","03-Mar-2026","0063-JED-001-0001","الصناعية الثالثة"
"0031-001","0031","19-Sep-2024","18-Sep-2025","0031-JED-005-0010,0031-JED-002-0003,0031-JED-006-0011,0031-JED-001-0002,0031-JED-008-0014,0031-JED-007-0013,0031-JED-003-0005,0031-JED-004-0007,0031-JED-009-0015,0031-MKA-001-0001,0031-MDN-002-0009,0031-MDN-001-0008,0031-TBK-001-0012,0031-YAN-001-0004,0031-TAF-001-0006","Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora,Sephora"
"0002-002","0002","01-Oct-2024","30-Sep-2025","0002-JED-002-0002","9 عمائر ومحلات"
"0033-004","0033","14-Nov-2024","12-Nov-2025","0033-JED-004-0004","الصفا - رجال"
"0033-003","0033","14-Nov-2024","12-Nov-2025","0033-JED-003-0003","المحمدية - رجال"
"0052-001","0052","19-Mar-2024","18-Mar-2025","0052-JED-001-0001","طريق الأمير سلطان"
"0001-001","0001","01-Dec-2024","31-Dec-2025","0001-JED-001-0001","ابحر الشمالية"
"0050-001","0050","19-Feb-2025","18-Feb-2026","0050-JED-001-0001","مركز الورود التجاري"
"0008-001","0008","29-Oct-2024","28-Oct-2025","0008-JED-001-0001","بن لادن بلازا - البغدادية"
"0020-001","0020","01-Jan-2025","31-Dec-2025","0020-JED-001-0001","برج ذا هيدكوارترز بزنس بارك"
