معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0048-JED-001-0001,0048-001,0048,regular,completed,1-Sep-24,09:00,1-Sep-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,15-Sep-2024,09:00,15-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,15-Sep-2024,09:00,15-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,9-Sep-2024,09:00,9-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,9-Jan-25,09:00,9-Jan-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,17-Mar-25,09:00,17-Mar-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,3-Jun-25,09:00,3-Jun-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,22-May-25,09:00,22-May-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,9-Feb-2025,09:00,9-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,16-Apr-2025,09:00,16-Apr-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
