Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة سيفورا العربية,,الفروع,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية,,خارج جدة,الفروع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة فندي السعودية,,الفروع,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة فندي السعودية,,خارج جدة,الفروع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكستيان العربية,,الفروع,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكستيان العربية,,خارج جدة,الفروع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لويس فيتون,,الفروع,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لويس فيتون,,خارج جدة,الفروع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
جامعة دار الحكمة,,الفيحاء,جدة,12-Feb-24,3-Mar-24,9-Sep-23,1-Oct-23,9-Oct-23,12-Feb-24,4-Jan-24,11-Jun-24,19-Oct-24,1-Sep-24,1-Apr-24,11-Nov-24,1-Aug-24,,,,,,,,,,,,,,,,,
شركة الخيال اللامحدودة- كيو,,التحلية,جدة,6/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مؤسسة الشهباء المتطورة لتشغيل الفنادق,,الفيحاء,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة منتجات صناعة الاسمنت,,مدينة الملك عبدالله,رابغ,3-Mar-24,8/1/2024,5/1/2024,2/17/2025,12/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,
ذا فيلج مول,,الاصالة,جدة,9/11/2024,2/5/2025,2/27/2025,3/27/2025,4/27/2025,1/26/2025,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخريف التجارية - المستودع,,حي الريان,جدة,9/2/2024,5/18/2025,2/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخريف التجارية - الورشة المركزية,,حي الريان,جدة,11/1/2024,8/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخريف التجارية - اوتو مول,,اوتو مول,جدة,8/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخريف التجارية - ورشة جازان,,ورشة جازان,جازان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الهلال الذهبي - محطة ناقلين,,التعاون,جدة,19-May-25,9/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
