Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة بوتش العربية المحدودة ,Penholigon’s-Kiosk,Red Sea Mall,جدة,4/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Purificacion Garcia,Red Sea Mall,جدة,4/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Ralph Lauren,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Ray Ban,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Tory Burch,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Tumi,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الجمال لمستحضرات التجميل العالمية المحدودة (ذات مسؤولية محدودة),YSL,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Red Sea Mall ,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Salam Mall,جدة,1/2/2025,2/9/2025,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,GUESS ,Salam Mall,جدة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Salam Mall,جدة,4/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,GUESS ,Tabuk Park,تبوك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Tabuk Park,تبوك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Tabuk Park,تبوك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Tabuk Park,تبوك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Tahlia Mall,جدة,4/8/2025,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,The Park,الطائف,10/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,The Park,الطائف,10/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة رضوى التجارية (ذات مسؤولية محدودة) - جدة,Chanel ,The Village,جدة,4/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces  ,The Village,جدة,4/17/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,The Village,جدة,4/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,The Village,جدة,4/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,The Village,جدة,9/22/2024,10/23/2024,4/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الجمال لمستحضرات التجميل العالمية المحدودة (ذات مسؤولية محدودة),YSL,The Village,جدة,4/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,U WALK,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Yasmeen Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Yasmeen Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,MUFE,Yasmeen Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Yasmeen Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Yasmeen Mall,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخريف التجارية,مبنى 1,مرسى خليج الجار,ينبع,3-Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة الخريف التجارية,مبنى 2,مرسى خليج الجار,ينبع,3-Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مركز روائع تالا للتزيين النسائي,,حي الصفا,جدة,6-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محطة بترولكس,,غرناطة,جدة,6/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة عناية العالمية ,,الرحيلي - رجال,جدة,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة وايت للشحن,,إعمار سكوير,جدة,1/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
