معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,مدة الزيارة (دقائق),الفريق المختص,الفني المختص,صيانة الطفايات,صيانة نظام الإنذار,صيانة نظام الإطفاء,نظام الغاز,نظام الفوم,النتيجة العامة,المشاكل المكتشفة,التوصيات,تاريخ الزيارة القادمة,ملاحظات,تم الإنشاء بواسطة
0025-JED-001-0001,0025-001,0025,regular,completed,09-Sep-24,09:00,09-Sep-24,11:30,150,,,,,,,,passed,,,,,system-import
0023-RAB-001-0001,0023-001,0023,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,passed,,,,,system-import
0023-RAB-001-0001,0023-001,0023,regular,completed,01-Aug-24,09:00,01-Aug-24,11:30,150,,,,,,,,passed,,,,,system-import
0023-RAB-001-0001,0023-001,0023,regular,completed,31-Mar-24,09:00,31-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0023-RAB-001-0001,0023-001,0023,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0023-RAB-001-0001,0023-001,0023,regular,completed,01-Nov-24,09:00,01-Nov-24,11:30,150,,,,,,,,passed,,,,,system-import
0023-RAB-001-0001,0023-001,0023,regular,completed,18-Jun-25,09:00,18-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,20-Feb-25,09:00,20-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,05-Aug-24,09:00,05-Aug-24,11:30,150,,,,,,,,passed,,,,,system-import
0048-JED-001-0001,0048-001,0048,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,19-Apr-25,09:00,19-Apr-25,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,26-Feb-24,09:00,26-Feb-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,28-Dec-24,09:00,28-Dec-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,18-May-25,09:00,18-May-25,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,07-Aug-24,09:00,07-Aug-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,07-Oct-24,09:00,07-Oct-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,01-Aug-24,09:00,01-Aug-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,01-Jun-24,09:00,01-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,01-Jun-24,09:00,01-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,01-Apr-24,09:00,01-Apr-24,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,25-Feb-25,09:00,25-Feb-25,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,03-Apr-25,09:00,03-Apr-25,11:30,150,,,,,,,,passed,,,,,system-import
0055-JED-001-0001,0055-001,0055,regular,completed,29-Jun-25,09:00,29-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,18-May-25,09:00,18-May-25,11:30,150,,,,,,,,passed,,,,,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,29-Jun-25,09:00,29-Jun-25,11:30,150,,,,,,,,passed,,,,,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,01-Oct-24,09:00,01-Oct-24,11:30,150,,,,,,,,passed,,,,,system-import
0014-JED-001-0001,0014-001,0014,regular,completed,01-Jun-24,09:00,01-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,03-Mar-24,09:00,03-Mar-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,09-Sep-23,09:00,09-Sep-23,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,01-Oct-23,09:00,01-Oct-23,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,09-Oct-23,09:00,09-Oct-23,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,04-Jan-24,09:00,04-Jan-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,11-Jun-24,09:00,11-Jun-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,19-Oct-24,09:00,19-Oct-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,01-Sep-24,09:00,01-Sep-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,01-Apr-24,09:00,01-Apr-24,11:30,150,,,,,,,,passed,,,,,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,11-Nov-24,09:00,11-Nov-24,11:30,150,,,,,,,,passed,,,,,system-import
